origin_city,percentage
Guam TT,0
Pago Pago TT,0
Aguadilla PR,29.4339622641509
Anchorage AK,32.1460373998219
San Juan PR,33.890360709191
Charlotte Amalie VI,40
Ponce PR,41.9354838709677
Fairbanks AK,50.6912442396313
Kahului HI,53.664998528113
Honolulu HI,54.9088086922778
San Francisco CA,56.3076568265683
Los Angeles CA,56.6041076487252
Seattle WA,57.7554165533497
Long Beach CA,62.4541164132145
Kona HI,63.2821075740944
New York NY,63.481519772551
Las Vegas NV,65.163009288384
Christiansted VI,65.3333333333333
Newark NJ,67.1373555840822
Worcester MA,67.741935483871
Plattsburgh NY,68
Philadelphia PA,68.463751438435
San Diego CA,68.5372893871249
Portland OR,68.9278984429237
Lihue HI,69.1489361702128
Boston MA,69.7083984913991
Phoenix AZ,70.1723072698565
Miami FL,71.1592525219117
Fort Lauderdale FL,76.5210991167812
Minneapolis MN,76.7353381632736
Santa Ana CA,77.4553858004879
Houston TX,78.3060468170943
Latrobe PA,78.7671232876712
Washington DC,78.7887759465772
Chicago IL,79.7659478702075
San Jose CA,80.9409453116472
Dallas/Fort Worth TX,81.0889277760102
Oakland CA,81.1863913928468
Baltimore MD,81.2827371001895
Sacramento CA,81.6222910216718
Bakersfield CA,82.9754601226994
Austin TX,83.2470647645499
Tucson AZ,84.0336134453782
Denver CO,84.2149273055863
St. Louis MO,84.247701983551
Detroit MI,84.8946187354248
Salt Lake City UT,84.9985386831448
Orlando FL,85.4218961189419
Pittsburgh PA,85.5895821408128
Milwaukee WI,85.9332353558681
Indianapolis IN,86.4775932309621
New Orleans LA,86.4915338645418
Fort Myers FL,86.6628991240463
Charlotte NC,86.9405460576678
Hartford CT,87.0527772287013
Williston ND,87.5502008032128
Cleveland OH,87.9154078549849
Reno NV,87.9927385892116
Tampa FL,88.1996974281392
Ontario CA,88.4414771541832
Adak Island AK,88.8888888888889
Atlanta GA,88.972274338128
Nashville TN,89.1339703191706
Boise ID,89.3656032269894
Columbus OH,89.3836836480228
Norfolk VA,89.5099818511797
San Antonio TX,89.6721563798676
Kansas City MO,89.9241727941177
Albuquerque NM,90.6496432594818
West Palm Beach/Palm Beach FL,90.6723359022057
Dallas TX,91.2498625920633
Raleigh/Durham NC,91.426206244087
Manchester NH,91.7932031814895
St. Augustine FL,92.3076923076923
Providence RI,92.4938808811531
Cincinnati OH,92.509746588694
Kalispell MT,92.6153846153846
Memphis TN,93.0772018847408
Jackson WY,93.2432432432432
Burbank CA,93.6808118081181
Fresno CA,93.7200638637573
White Plains NY,93.9837398373984
Richmond VA,94.2363955529549
Islip NY,94.3510423671822
Oklahoma City OK,94.3877551020408
Buffalo NY,94.6026244119832
El Paso TX,94.6191247974068
Fayetteville AR,94.6994794131567
Newburgh/Poughkeepsie NY,94.7058823529412
Lewisburg WV,94.7368421052632
Louisville KY,94.9901120632828
Crescent City CA,95.0617283950617
Akron OH,95.0617283950617
Albany NY,95.2283011106541
Bozeman MT,95.3978906999041
Deadhorse AK,95.4545454545455
Birmingham AL,96.0025789813024
Little Rock AR,96.1580282711127
Hilo HI,96.1586121437423
Jacksonville FL,96.484375
Spokane WA,96.5372016846046
Portland ME,96.6709346991037
Omaha NE,96.6713286713287
El Centro CA,96.7741935483871
Hayden CO,96.7741935483871
Flint MI,96.927374301676
Palm Springs CA,97.0260223048327
Eagle CO,97.0802919708029
Greensboro/High Point NC,97.3151201130476
Aspen CO,97.3180076628352
Sarasota/Bradenton FL,97.5093399750934
Daytona Beach FL,97.5460122699387
Trenton NJ,97.8494623655914
Colorado Springs CO,97.8712620375063
Montrose/Delta CO,98.1029810298103
International Falls MN,98.1132075471698
Grand Rapids MI,98.1198076082204
Key West FL,98.2300884955752
Tulsa OK,98.2572877059569
Rock Springs WY,98.2758620689655
Des Moines IA,98.4
Hancock/Houghton MI,98.4126984126984
Madison WI,98.5218874360432
Dayton OH,98.5245121370776
Charleston/Dunbar WV,98.5483870967742
Savannah GA,98.6723565670934
Pasco/Kennewick/Richland WA,98.6754966887417
Nome AK,98.7096774193548
Kotzebue AK,98.7096774193548
Santa Barbara CA,98.7595983461311
Missoula MT,98.7671232876712
Scranton/Wilkes-Barre PA,98.8095238095238
Rhinelander WI,98.876404494382
Kinston NC,98.876404494382
Knoxville TN,98.8782051282051
Charleston SC,98.9068825910931
Moline IL,98.9100817438692
Huntsville AL,98.9747095010253
Allentown/Bethlehem/Easton PA,98.9881956155143
Elmira/Corning NY,99.0049751243781
Jacksonville/Camp Lejeune NC,99.0476190476191
Rapid City SD,99.0546218487395
Nantucket MA,99.1150442477876
Wichita KS,99.130974549969
Melbourne FL,99.1452991452991
Fort Smith AR,99.1477272727273
Columbia SC,99.2165242165242
Pensacola FL,99.2260917634052
Tallahassee FL,99.2297817715019
Myrtle Beach SC,99.2542878448919
Rochester NY,99.2722602739726
Lubbock TX,99.2896606156275
Newport News/Williamsburg VA,99.290780141844
Burlington VT,99.3061578490893
Atlantic City NJ,99.3087557603687
Bangor ME,99.3344425956739
Mission/McAllen/Edinburg TX,99.3388429752066
Longview TX,99.3506493506493
Greer SC,99.3559718969555
Santa Fe NM,99.3589743589744
Rochester MN,99.3630573248408
Traverse City MI,99.375
Harrisburg PA,99.3808049535604
Appleton WI,99.3814432989691
Brunswick GA,99.4011976047904
Syracuse NY,99.4095544820183
Valparaiso FL,99.4142259414226
Corpus Christi TX,99.4210090984285
Lincoln NE,99.4350282485876
Asheville NC,99.4565217391304
Evansville IN,99.4697773064687
Albany GA,99.4791666666667
Brownsville TX,99.4962216624685
Sioux Falls SD,99.5174909529554
Fort Wayne IN,99.5233555767397
Eugene OR,99.5454545454545
Cody WY,99.5495495495496
Midland/Odessa TX,99.5522388059701
Alexandria LA,99.5642701525054
Amarillo TX,99.5704467353952
Arcata/Eureka CA,99.5726495726496
State College PA,99.5850622406639
Lexington KY,99.620253164557
Lake Charles LA,99.6350364963504
Monterey CA,99.6636771300448
Mobile AL,99.6670366259712
San Angelo TX,99.6732026143791
Minot ND,99.6784565916399
Shreveport LA,99.6787148594377
Jackson/Vicksburg MS,99.7030878859858
Sitka AK,99.7067448680352
Juneau AK,99.7237569060773
Saginaw/Bay City/Midland MI,99.7275204359673
Charlottesville VA,99.7368421052632
Panama City FL,99.737876802097
Baton Rouge LA,99.7416020671835
Harlingen/San Benito TX,99.748743718593
Springfield MO,99.7528830313015
Monroe LA,99.7722095671982
Laredo TX,99.7802197802198
Bloomington/Normal IL,99.7830802603037
Cedar Rapids/Iowa City IA,99.7855611150822
Tyler TX,99.789029535865
Fargo ND,99.7969543147208
Champaign/Urbana IL,99.8039215686274
Bend/Redmond OR,99.8165137614679
Wilmington NC,99.8230088495575
Bismarck/Mandan ND,99.825479930192
Montgomery AL,99.8336106489185
Toledo OH,99.8347107438017
Grand Junction CO,99.8449612403101
Peoria IL,99.8664886515354
Medford OR,99.8675496688742
Lafayette LA,99.8771498771499
Chattanooga TN,99.8771498771499
Killeen TX,99.8778998778999
Billings MT,99.8823529411765
Gulfport/Biloxi MS,99.8878923766816
Gunnison CO,100
Gustavus AK,100
Great Falls MT,100
Green Bay WI,100
Florence SC,100
Gainesville FL,100
Garden City KS,100
Gillette WY,100
Grand Forks ND,100
Grand Island NE,100
Hattiesburg/Laurel MS,100
Hays KS,100
Helena MT,100
Hibbing MN,100
Hickory NC,100
Hyannis MA,100
Idaho Falls ID,100
Inyokern CA,100
Iron Mountain/Kingsfd MI,100
Fayetteville NC,100
Flagstaff AZ,100
Erie PA,100
Escanaba MI,100
Eau Claire WI,100
Elko NV,100
Devils Lake ND,100
Dickinson ND,100
Dillingham AK,100
Dothan AL,100
Dubuque IA,100
Duluth MN,100
Durango CO,100
Binghamton NY,100
Bethel AK,100
Beaumont/Port Arthur TX,100
Bemidji MN,100
Barrow AK,100
Augusta GA,100
Alpena MI,100
Ashland WV,100
Aberdeen SD,100
Abilene TX,100
Butte MT,100
Carlsbad CA,100
Casper WY,100
Cedar City UT,100
Brainerd MN,100
Bristol/Johnson City/Kingsport TN,100
College Station/Bryan TX,100
Chico CA,100
Cordova AK,100
Columbus GA,100
Columbus MS,100
Columbia MO,100
King Salmon AK,100
Kodiak AK,100
Lansing MI,100
Laramie WY,100
La Crosse WI,100
Lawton/Fort Sill OK,100
Lewiston ID,100
Ketchikan AK,100
Kalamazoo MI,100
Hobbs NM,100
Jamestown ND,100
Joplin MO,100
Meridian MS,100
Manhattan/Ft. Riley KS,100
Marquette MI,100
Marthas Vineyard MA,100
Lynchburg VA,100
Macon GA,100
Mosinee WI,100
Muskegon MI,100
Modesto CA,100
Petersburg AK,100
Pellston MI,100
Redding CA,100
Pocatello ID,100
Niagara Falls NY,100
Naples FL,100
New Bern/Morehead/Beaufort NC,100
New Haven CT,100
North Bend/Coos Bay OR,100
Oxnard/Ventura CA,100
Paducah KY,100
Roswell NM,100
Roanoke VA,100
South Bend IN,100
Springfield IL,100
Sioux City IA,100
Santa Maria CA,100
Sault Ste. Marie MI,100
San Luis Obispo CA,100
Texarkana AR,100
Tupelo MS,100
Twin Falls ID,100
St. George UT,100
Sun Valley/Hailey/Ketchum ID,100
Wichita Falls TX,100
West Yellowstone MT,100
Valdosta GA,100
Waterloo IA,100
Victoria TX,100
Visalia CA,100
Waco TX,100
Wrangell AK,100
Yakutat AK,100
Yuma AZ,100
